post_id,product_id
1001241576398981_122097939189227772,prd_0001
1001241576398981_122097890397227772,prd_0002
1001241576398981_122097890397227772,prd_0001
1001241576398981_122097890397227772,prd_0003
1001241576398981_122097196215227772,prd_0001
1001241576398981_122096490363227772,prd_0001
1001241576398981_122096490363227772,prd_0004
1001241576398981_122096490363227772,prd_0003
1001241576398981_122096490363227772,prd_0002
1001241576398981_122096485155227772,prd_0001
1001241576398981_122096485155227772,prd_0003
1001241576398981_122095161111227772,prd_0004
1001241576398981_122095161111227772,prd_0001
